hebrew,english
של,of
את,the/you
על,on
לא,no
הוא,he
עם,with
כי,because
היה,was
זה,this
גם,also
ב,in
כל,all
ה,the
בין,between
או,or
אל,to
אך,but
יותר,more
היא,she
לאחר,after
אני,I
מה,what
לי,me
כן,yes
אתה,you
כמו,like
שלו,his
ש,that
עבור,for
הם,they
להיות,to be
אחד,one
יש,there is
מ,from
על ידי,by
חם,hot
מילה,word
אבל,but
כמה,some
זמן,time
מאוד,very
עד,until
שלי,my
רק,only
שנה,year
יום,day
אם,if
אנחנו,we
איך,how
אחרי,after
שם,there
כאן,here
עכשיו,now
טוב,good
יכול,can
פעם,time
עוד,more
לפני,before
שני,second
ראשון,first
איפה,where
למה,why
מי,who
מתי,when
אנשים,people
דבר,thing
ארץ,land
עיר,city
בית,house
יד,hand
ראש,head
עין,eye
לב,heart
חיים,life
מים,water
אש,fire
אור,light
שמש,sun
ירח,moon
כוכב,star
שמיים,sky
ים,sea
הר,mountain
עץ,tree
פרח,flower
דרך,way
רחוב,street
שולחן,table
כיסא,chair
דלת,door
חלון,window
ספר,book
מכתב,letter
נייר,paper
עט,pen
מספר,number
שם,name
מקום,place
בוקר,morning
ערב,evening
לילה,night
שעה,hour
דקה,minute
שבוע,week
חודש,month
אב,father
אם,mother
בן,son
בת,daughter
אח,brother
אחות,sister
איש,man
אישה,woman
ילד,child
ילדה,girl
בחור,boy
זקן,old
צעיר,young
גדול,big
קטן,small
ארוך,long
קצר,short
רחב,wide
צר,narrow
עמוק,deep
רדוד,shallow
גבוה,high
נמוך,low
חזק,strong
חלש,weak
מהיר,fast
איטי,slow
חדש,new
ישן,old
יפה,beautiful
מכוער,ugly
נקי,clean
מלוכלך,dirty
מלא,full
ריק,empty
קל,easy
קשה,hard
חשוב,important
פשוט,simple
מורכב,complex
אמיתי,real
שקר,false
נכון,correct
טעות,mistake
אהבה,love
שנאה,hate
שמחה,happiness
עצב,sadness
פחד,fear
כעס,anger
תקווה,hope
חלום,dream
זיכרון,memory
מחשבה,thought
דעת,knowledge
חכמה,wisdom
אמת,truth
צדק,justice
חופש,freedom
שלום,peace
מלחמה,war
מוות,death
לאכול,to eat
לשתות,to drink
לישון,to sleep
ללכת,to go
לבוא,to come
לרוץ,to run
לשבת,to sit
לעמוד,to stand
לשכב,to lie
לקום,to get up
לדבר,to speak
לשמוע,to hear
לראות,to see
לקרוא,to read
לכתוב,to write
ללמוד,to learn
ללמד,to teach
לעבוד,to work
לשחק,to play
לתת,to give
לקחת,to take
לקנות,to buy
למכור,to sell
לפתוח,to open
לסגור,to close
להתחיל,to start
לסיים,to finish
לעזור,to help
לחכות,to wait
לחשוב,to think
להבין,to understand
לדעת,to know
לזכור,to remember
לשכוח,to forget
לאהוב,to love
לשנוא,to hate
לרצות,to want
צריך,need
חייב,must
אפשר,possible
אי אפשר,impossible
בטוח,sure
ספק,doubt
אולי,maybe
בוודאי,certainly
תמיד,always
לעולם,never
לפעמים,sometimes
לעתים קרובות,often
לעתים רחוקות,rarely
היום,today
אתמול,yesterday
מחר,tomorrow
עתה,now
אז,then
פה,here
שם,there
למעלה,up
למטה,down
ימין,right
שמאל,left
קדימה,forward
אחורה,backward
פנימה,inside
החוצה,outside
ליד,next to
מול,opposite
תחת,under
מעל,above
בתוך,within
מחוץ,outside
אדום,red
כחול,blue
ירוק,green
צהוב,yellow
שחור,black
לבן,white
אפור,gray
כתום,orange
סגול,purple
ורוד,pink
חום,brown
זהב,gold
כסף,silver
אחת,one
שתיים,two
שלוש,three
ארבע,four
חמש,five
שש,six
שבע,seven
שמונה,eight
תשע,nine
עשר,ten
עשרים,twenty
